index,ocn,name,brand
248,2174,SOUTHWESTERN TEL. CO.,
249,6006,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - CA,
250,981E,"BANDWIDTH.COM CLEC, LLC - CA",
251,649C,"ONVOY, LLC - CA",
252,8826,"LEVEL 3 COMMUNICATIONS, LLC - CA",
253,394L,"COMCAST PHONE OF CALIFORNIA, LLC",
254,6967,33 WIRELESS INC.,
255,7128,MCIMETRO ACCESS TRANSMISSION SERVICES LLC - CA,
256,9740,PACIFIC BELL,
257,7145,"TELEPORT COMMUNICATIONS AMERICA, LLC - CA",
258,4420,FRONTIER CALIFORNIA INC.,
259,9262,"UTILITY TELECOM GROUP, LLC - CA",
260,373F,"PEERLESS NETWORK OF CALIFORNIA, LLC - CA",
261,252F,"WIDE VOICE, LLC - CA",
262,2343,VOLCANO TEL. CO.,
263,7262,"XO CALIFORNIA, INC.",
264,6906,"AMERICAN MESSAGING SERVICES, LLC",
265,2322,HORNITOS TEL. CO.,
266,2315,GLOBAL VALLEY NETWORKS,
267,7718,"LEVEL 3 TELECOM OF CALIFORNIA, LP - CA",
268,622J,SKYE TELECOM LLC DBA SKYETEL,
269,2338,"SIERRA TEL. CO., INC.",
270,2301,CALAVERAS TEL. CO.,
271,2342,CITIZENS TELECOM DBA FRONTIER COMM OF TOULUMNE,
272,899D,"METROPCS NETWORKS, LLC",Metro by T-Mobile
273,7240,MCIMETRO ACCESS TRANSMISSION SERVICES LLC - CA,
274,7894,NORTH COUNTY COMMUNICATION CORPORATION - CA,
275,7139,"TELEPORT COMMUNICATIONS AMERICA, LLC - CA",
276,973E,"RACE TELECOMMUNICATIONS, INC. - CA",
277,365J,RIGHT CALL LLC,
278,478A,DMR COMMUNICATIONS INC. - CA,
279,993B,"CURATEL, LLC - CA",
280,7534,FRONTIER CALIFORNIA INC.,
281,026K,"BARR TELL USA, LLC",
282,485E,"ASTOUND BROADBAND, LLC - CA",
283,193E,"8X8, INC.",
284,2319,FRONTIER CALIFORNIA INC.,
285,7480,PACIFIC BELL (COMPETITIVE),
286,707H,"INTEGRATED PATH COMMUNICATIONS, LLC - CA",
287,433E,"SONIC TELECOM, LLC - CA",
288,7174,ELECTRIC LIGHTWAVE LLC DBA ALLSTREAM,
289,7147,"TELEPORT COMMUNICATIONS AMERICA, LLC - CA",
290,824J,OPENTACT INC.,
291,385L,"SEQUOIA WIRELESS, LLC",
292,2308,CITIZENS TELECOM CA. DBA FRONTIER COM OF CA,
293,3402,CITIZENS TELECOMM DBA FRONTIER COMM GOLDEN STATE,
294,6261,UNITED STATES CELLULAR - CA,
295,2321,HAPPY VALLEY TEL. CO.,
296,734E,"CAL-ORE COMMUNICATIONS, INC. - CA",
297,2318,"FORESTHILL TEL. CO., INC.",
298,2311,CAL-ORE TELEPHONE CO.,
299,2339,SISKIYOU TEL. CO.,
300,863F,FRONTIER COMMUNICATIONS OF THE SOUTHWEST INC. - CA,
301,103G,"SNOWCREST TELEPHONE, INC -CA",
302,2313,DUCOR TEL. CO.,
303,2360,"CENTURYTEL OF OREGON, INC. DBA CENTURYLINK",
304,2332,PONDEROSA TEL. CO.,
305,2324,KERMAN TEL. CO.,
306,208K,"VESTED NETWORKS, LLC",
307,819H,"BLUIP, INC.",
308,2344,FRONTIER COMMUNICATIONS WEST COAST INC. - CA,
309,863D,"CONNECTTO COMMUNICATIONS, INC. - CA",
310,857F,"MCC TELEPHONY OF THE WEST, LLC - CA",
311,2323,WINTERHAVEN TEL. CO.,
312,808C,"INTRADO COMMUNICATIONS, LLC",
313,258E,YMAX COMMUNICATIONS CORP. - CA,
314,7379,"MATRIX TELECOM, LLC. S/I/I TNCI - CA",
315,9807,NORCAST COMMUNICATIONS CORPORATION - CA,
316,2346,PINNACLES TEL. CO.,
317,3964,"FIDIUM ENTERPRISE SERVICES, LLC",
318,2334,CONSOLIDATED COMMUNICATIONS OF CALIFORNIA COMPANY,
319,006E,"FRONTIER COMMUNICATIONS OF AMERICA, INC. - CA",
320,7378,"TELEPORT COMMUNICATIONS AMERICA, LLC - CO",
321,6567,CELLCO PARTNERSHIP DBA VERIZON WIRELESS - CO,Verizon
322,6118,"LEVEL 3 COMMUNICATIONS, LLC - CO",
323,6874,"N.E. COLORADO CELLULAR, INC.",
324,026D,"ONVOY, LLC - CO",
325,765B,"ELBERT COUNTY WIRELESS, LLC",
326,3044,"LIVE WIRE NETWORKS, INC. - CO",
327,3467,ELECTRIC LIGHTWAVE LLC DBA ALLSTREAM,
328,2207,STRASBURG TEL. CO.,
329,2186,"EASTERN SLOPE RURAL TEL. ASSN., INC.",
330,6907,COMMUNICATIONS UNLIMITED,
331,2181,"BIJOU TEL. COOP. ASSN., INC.",
332,4574,"LEVEL 3 TELECOM OF COLORADO, LLC - CO",
333,5972,INTERLINK ADV SVC DBA FORETHOUGHT.NET - CO,
334,2202,ROGGEN TEL. COOP. CO.,
335,881B,"ILOKA, INC. DBA NEWCLOUD NETWORKS - CO",
336,078F,"BANDWIDTH.COM CLEC, LLC - CO",
337,2182,BLANCA TEL. CO.,
338,7590,"LEVEL 3 TELECOM OF COLORADO, LLC - CO",
339,2185,"CENTURYTEL OF EAGLE, INC. DBA CENTURYLINK",
340,2204,CONSOLIDATED COMMUNICATIONS OF COLORADO COMPANY,
341,278F,"PEERLESS NETWORK OF COLORADO, LLC - CO",
342,8980,"XO COLORADO, LLC",
343,768C,"SECOM, INC. - CO",
344,1827,S & T TEL. COOP. ASSN.,
345,2016,"PANHANDLE TELEPHONE COOPERATIVE, INC.",
346,2187,THE EL PASO COUNTY TELEPHONE COMPANY,
347,2198,PINE DRIVE TEL. CO.,
348,2203,"RYE TEL. CO., INC.",
349,567G,"TELIAX, INC. - CO",
350,1817,"PIONEER TEL. ASSN., INC.",
351,2192,CONSOLIDATED COMMUNICATIONS OF COLORADO COMPANY,
352,1835,CONSOLIDATED COMMUNICATIONS OF KANSAS COMPANY,
353,436J,"HADLO TECHNOLOGIES, LLC",
354,2178,AGATE MUTUAL TELEPHONE COOPERATIVE ASSOCIATION,
355,557H,"WIDE VOICE, LLC - CO",
356,2195,SOUTH PARK TELEPHONE COMPANY,
357,641H,TDS BROADBAND SERVICE LLC,
358,588A,ZIPPYTECH INCORPORATED,
359,809C,"INTRADO COMMUNICATIONS, LLC",
360,330B,"FASTTRACK COMMUNICATIONS, INC. - CO",
361,019J,"AIRUS, INC. - CO",
362,016G,TELSTAR COMMUNICATIONS INC,
363,022H,"COMMIO, LLC",
364,839J,"EON TELECOM, INC.",
365,1772,UINTAH BASIN ELECTRONIC TELECOMMUNICATIONS,
366,2210,WILLARD TEL. CO.,
367,9631,QWEST CORPORATION,
368,2208,"CENTURYTEL OF COLORADO, INC. DBA CENTURYLINK",
369,2190,HAXTUN TEL. CO.,
370,013B,UNION TELEPHONE COMPANY,
371,4164,"SAN ISABEL TELECOM, INC. - CO",
372,2196,PEETZ COOP. TEL. CO.,
373,2199,"PLAINS COOP. TEL. ASSN., INC.",
374,2297,UNION TEL. CO.,
375,775D,NUCLA-NATURITA TELEPHONE COMPANY,
376,2209,WIGGINS TEL. ASSN.,
377,1577,"GREAT PLAINS COMMUNICATIONS, INC.",
378,312G,"NORTHERN COLORADO COMMUNICATIONS, LLC. - CO",
379,075G,"FARMERS TELECOMMUNICATIONS, INC. - CO",
380,2184,"DELTA COUNTY TELE-COMM, INC.",
