ocn,class
# Format: <4-char OCN>,<wireline|wireless|voip|tollfree>
#
# THIS FILE IS THE MAINTENANCE BURDEN OF THE SYSTEM. Everything else is
# static code; this decays as carriers merge and new OCNs are issued.
#
#  1. Never regex over company names. T-Mobile alone sits behind OCNs from
#     Voicestream, MetroPCS and Sprint; name matching misfiles the MVNO tail.
#  2. A missing OCN yields Unknown, not a guess. Abstaining costs one result;
#     guessing wrong costs a customer.
#  3. Classify CLEC and interconnected-VoIP holders as `voip`. Twilio and
#     Bandwidth DIDs are SMS-reachable despite wireline assignment.
#  4. Run `ltbuild -report` after every rebuild; work the unmapped list
#     top-down, it's sorted by how many blocks each missing code costs you.
#
# EXAMPLES ONLY - DELETE BEFORE PRODUCTION
2176,wireline
2226,wireline
2393,wireline
3467,voip
3700,wireline
4530,wireline
4645,voip
7024,voip
0542,wireline
4768,voip
5312,voip
7591,voip
1532,wireline
2249,wireline
4114,voip
7327,voip
8697,voip
0472,wireline
0681,wireline
157F,voip
4426,wireline
0170,wireline
349F,voip
7322,voip
9416,voip
3454,wireless
408F,voip
489F,voip
766H,voip
0597,wireline
138D,voip
014E,voip
1054,wireline
1260,wireline
1345,wireline
1664,wireline
1914,wireline
2039,wireline
3332,wireline
346G,voip
3945,wireless
8254,voip
8764,voip
1931,wireline
2030,wireline
2141,wireline
2151,wireline
835E,voip
0483,wireline
1451,wireline
0446,wireline
1833,wireline
2354,wireline
7351,voip
7274,voip
7488,voip
6271,wireless
7816,voip
999E,voip
3022,wireline
4417,wireline
7455,voip
7457,voip
776A,voip
7865,voip
4046,voip
705F,voip
7783,voip
9726,voip
0562,wireline
0860,wireline
0976,wireline
1746,wireline
1772,wireless
1839,wireline
2011,wireline
2287,wireline
3016,wireline
3922,voip
4611,wireline
8202,wireline
1385,wireline
1890,wireline
511C,voip
7353,voip
999H,voip
0106,wireline
0881,wireline
1143,wireline
181D,voip
2130,wireline
3027,wireline
534J,voip
091J,voip
1297,wireline
476H,voip
526H,voip
7451,voip
8344,voip
0398,wireline
587C,voip
784E,voip
874F,voip
003J,voip
2776,voip
5932,wireless
882G,voip
3310,wireline
3622,voip
0429,wireline
0523,wireline
1047,wireline
1298,wireline
3019,wireline
4255,voip
4260,wireless
459H,voip
4721,wireless
7989,voip
9671,wireless
1780,wireline
1988,wireline
9915,voip
077G,voip
2213,wireline
377H,voip
0173,voip
0226,wireline
0956,wireline
7459,voip
7857,voip
1109,wireline
1762,voip
473F,voip
0950,wireline
400E,voip
4866,voip
4886,voip
0165,wireline
1706,voip
330D,voip
482E,voip
0069,wireline
0084,wireline
0571,wireline
0713,wireline
1985,wireline
2090,wireline
2140,wireline
2233,wireline
3704,voip
4427,wireline
6145,voip
6833,wireless
919F,voip
0371,wireline
2296,wireline
2395,wireline
383J,voip
235C,wireless
3008,wireline
3964,voip
663D,voip
205D,voip
4450,wireline
9133,voip
0581,wireline
4366,voip
1917,wireline
511K,voip
9414,voip
4337,wireline
0377,wireline
0565,wireline
0974,wireline
1401,wireline
1472,wireline
1616,wireline
1670,wireline
1676,wireline
1689,wireline
1726,wireline
1827,wireline
1841,wireline
1979,wireline
1982,wireline
2041,wireline
2112,wireline
2168,wireline
2186,wireline
2371,wireline
3001,wireline
3004,wireline
6810,wireless
9264,voip
1373,wireline
2250,wireline
3011,wireline
450C,voip
0306,wireline
0671,wireline
1835,wireline
5180,voip
631G,voip
744H,voip
0502,wireline
0573,wireline
4421,wireline
661D,voip
0314,wireline
0503,wireline
2896,voip
7278,voip
7469,voip
0250,wireline
0468,wireline
1555,wireline
252F,voip
583C,voip
8299,voip
985G,voip
0302,wireline
7260,voip
9827,voip
0511,wireline
0527,wireline
0870,wireline
1984,wireline
665H,voip
0078,wireline
0201,wireline
0425,wireline
0649,wireline
087H,voip
1025,wireline
1088,wireline
1168,wireline
1460,wireless
1631,wireline
1652,wireline
1685,wireline
1831,wireline
1980,wireline
2014,wireline
2166,wireline
4256,voip
4632,voip
8221,wireline
920D,voip
9324,voip
0841,wireline
1346,wireline
1475,wireline
2171,wireline
2268,wireline
4630,voip
489J,wireless
7391,voip
0963,wireline
1427,wireline
7277,voip
1711,wireline
1375,wireline
1443,wireline
1882,wireline
258F,voip
7973,voip
947G,voip
0546,wireline
1484,wireless
2412,wireline
7174,voip
7310,voip
937F,voip
0330,wireline
443B,wireless
4574,voip
629E,voip
7777,voip
155F,voip
7830,voip
7849,voip
8249,voip
0191,wireline
0381,wireline
0406,wireline
0433,wireline
0496,wireline
0689,wireline
0966,wireline
0971,wireline
1026,wireline
117H,voip
1187,wireline
1610,wireline
1660,wireline
1669,wireline
1674,wireline
1678,wireline
1712,wireline
1722,wireline
1724,wireline
1820,wireline
2272,wireline
2332,wireline
2338,wireline
2351,wireline
3021,wireline
346D,wireless
3900,wireline
4164,voip
4720,wireless
6530,wireless
6739,wireless
6858,wireless
6871,wireless
6996,wireless
920F,voip
988H,voip
009G,voip
0531,wireline
0964,wireline
1734,wireline
1759,wireline
2060,wireline
477H,voip
7158,voip
3331,wireline
4464,wireline
7511,voip
928H,voip
9714,voip
125L,voip
218H,voip
7537,voip
0127,voip
1430,wireline
7770,voip
0516,wireline
350E,voip
4930,voip
7464,voip
0913,wireline
3314,wireline
752H,voip
0290,wireline
2170,wireline
2214,wireline
936F,voip
0577,wireline
0753,wireline
2452,wireline
294G,voip
314C,voip
5237,voip
641H,voip
678B,voip
826H,voip
996H,voip
0151,wireline
4263,voip
4724,voip
9161,voip
0135,wireline
0248,wireline
0280,wireline
0283,wireline
0304,wireline
0360,wireline
0379,wireline
0401,wireline
0414,wireline
0538,wireline
0550,wireline
1003,wireline
1024,wireline
1259,wireline
1390,wireline
1405,wireline
1491,wireline
1516,wireline
1636,wireline
174A,wireless
1849,wireline
1977,wireline
2070,wireline
2116,wireline
2179,wireline
2199,wireline
2270,wireline
2278,wireline
2339,wireline
2389,wireline
271G,voip
3006,wireline
3304,wireline
3459,voip
4612,wireline
5494,voip
6483,wireless
6756,wireless
6800,wireless
6801,wireless
6933,wireless
735E,voip
7893,voip
8205,wireline
9786,wireline
993L,voip
1542,wireline
1901,wireline
4548,wireless
6718,wireless
0168,wireline
036B,voip
0536,wireline
0640,voip
1358,wireline
1414,wireline
2091,wireline
3229,voip
423H,voip
6289,wireless
704G,voip
0396,wireline
3402,wireline
5205,voip
777B,voip
1055,wireline
128L,voip
9472,voip
1334,wireline
193C,voip
801D,voip
808G,voip
925C,voip
0380,wireline
587A,wireline
7273,voip
1038,wireline
485E,voip
0402,wireline
4227,voip
7021,voip
7632,voip
773F,voip
0064,wireline
0093,wireline
0267,wireline
0338,wireline
0348,wireline
0387,wireline
0394,wireline
0411,wireline
0419,wireline
0473,wireline
0512,wireline
0521,wireline
0539,wireline
0717,wireline
0775,wireline
0960,wireline
1319,wireline
1331,wireline
1450,wireline
1713,wireline
1718,wireline
1761,wireline
1847,wireline
1995,wireline
2013,wireline
2017,wireline
2022,wireline
2057,wireline
2059,wireline
2061,wireline
2071,wireline
2097,wireline
2135,wireline
2227,wireline
2231,wireline
2248,wireline
2277,wireline
2353,wireline
266G,voip
3003,wireline
3334,wireline
3798,voip
387E,wireless
630G,wireless
647F,voip
7220,voip
8218,wireline
8229,wireline
8245,wireline
8257,voip
8293,voip
8960,voip
0578,wireline
0807,wireline
0861,wireline
2295,wireline
4121,voip
525G,voip
732H,voip
7586,voip
0249,wireline
5672,voip
8526,voip
0045,wireline
0284,wireline
0559,wireline
1106,wireline
2423,wireline
881G,voip
0351,wireline
0859,wireline
1433,wireline
2987,voip
705G,voip
7091,voip
7637,voip
0526,wireline
1729,wireline
2299,wireline
260H,voip
781K,voip
7998,voip
0445,voip
1227,voip
2274,wireline
2309,voip
2842,voip
3401,wireline
580H,voip
7589,voip
7870,wireless
828B,voip
831C,voip
970H,voip
0015,wireline
0019,wireline
026K,voip
0917,wireline
204G,voip
458G,voip
5385,voip
3275,voip
3311,wireline
601G,voip
6944,voip
904D,voip
0364,wireline
0413,wireline
2623,voip
4531,wireline
579H,voip
7103,voip
951G,voip
0196,wireline
0225,wireline
0238,wireline
0378,wireline
0432,wireline
0441,wireline
0458,wireline
0480,wireline
0510,wireline
0554,wireline
055H,voip
0570,wireline
0685,wireline
0759,wireline
0800,wireline
0942,wireline
1016,wireline
1049,wireline
1115,wireline
1129,wireline
1174,wireline
1190,wireline
1237,wireline
124L,voip
1482,wireline
1483,wireline
1501,wireline
1510,wireline
1537,wireline
1557,wireline
1642,wireline
1647,wireline
1657,wireline
1677,wireline
1683,wireline
1709,wireline
1782,wireline
1807,wireline
1874,wireline
1927,wireline
2020,wireline
2023,wireline
206A,voip
2193,wireline
2215,wireline
2254,wireline
2264,wireline
2283,wireline
2288,wireline
2321,wireline
2612,wireless
277E,voip
2985,voip
3620,voip
4253,voip
4974,wireless
667C,voip
6771,wireless
8210,wireline
8216,wireline
940D,voip
0089,wireline
2025,wireline
2522,voip
3196,voip
581H,voip
809H,voip
0704,wireline
1350,wireline
1356,wireline
1540,wireline
275F,voip
7590,voip
927H,voip
1525,wireline
1530,wireline
4492,voip
7534,voip
993B,voip
995H,voip
0025,wireline
0914,wireline
1226,voip
330B,voip
4857,voip
578H,voip
7769,voip
8661,voip
0346,wireline
1479,wireline
250A,voip
8168,voip
8832,voip
9003,voip
9145,voip
075A,voip
0930,wireline
156C,voip
6183,voip
7376,voip
8615,voip
